annotation_id,room_type,predicate,subject_class,object_class,label_a,label_d,image_or_view_path,source_text
EG02-BED-0005,bedroom,behind,double_bed,table,satisfied,uncertain,images/EG02-BED-0005.svg,Put a black corner side table with a square top in front of a grey double bed with sheets and pillows.
EG02-BED-0008,bedroom,below,double_bed,pendant_lamp,satisfied,not_satisfied,images/EG02-BED-0008.svg,Add a black wooden wardrobe with doors and shelves in front of a black and white nightstand with a silver handle. Set up a double bed with canopy and pillows below a black pendant lamp with crystals.
EG02-BED-0009,bedroom,below,double_bed,pendant_lamp,satisfied,not_satisfied,images/EG02-BED-0009.svg,Position a gray double bed with brown pillows below a wooden pendant lamp with a wooden shade.
EG02-BED-0010,bedroom,below,double_bed,pendant_lamp,satisfied,not_satisfied,images/EG02-BED-0010.svg,Put a gray double bed with cover and pillows below a black metal pendant lamp with a hanging ball.
EG02-BED-0011,bedroom,below,double_bed,pendant_lamp,satisfied,not_satisfied,images/EG02-BED-0011.svg,"Hang a black circular pendant lamp with a metal frame in front of a grey wardrobe with drawers. Then, set up a double bed below a pendant lamp."
EG02-BED-0012,bedroom,close to,ceiling_lamp,chair,not_satisfied,satisfied,images/EG02-BED-0012.svg,Put a gray dining chair closely behind a black ceiling lamp with a lid.
EG02-BED-0014,bedroom,close to,4,6,not_satisfied,not_judgable,images/EG02-BED-0014.svg,"Position a coffee table closely in front of a chair. Next, install a modern pendant lamp with a metal ball in front of a blue lounge chair with a metal frame."
EG02-BED-0018,bedroom,in front of,nightstand,double_bed,satisfied,not_satisfied,images/EG02-BED-0018.svg,"Arrange a black double bed with white sheets and pillows behind a nightstand. Next, place a black double bed with white sheets and pillows in front of a wardrobe."
EG02-BED-0019,bedroom,in front of,double_bed,nightstand,not_satisfied,satisfied,images/EG02-BED-0019.svg,Put a black and white nightstand with a silver handle behind a double bed.
EG02-BED-0022,bedroom,left,bookshelf,double_bed,not_satisfied,uncertain,images/EG02-BED-0022.svg,"Add a grey stool with black legs behind a wooden bookshelf with shelves. Then, set up a bookshelf left of a black and white double bed."
EG02-BED-0025,bedroom,left,double_bed,nightstand,not_satisfied,uncertain,images/EG02-BED-0025.svg,Place a black and white nightstand with two drawers right of a grey and brown double bed.
EG02-BED-0027,bedroom,right,ceiling_lamp,nightstand,satisfied,uncertain,images/EG02-BED-0027.svg,Hang a black ceiling lamp with glass bulbs to the right of a nightstand.
EG02-BED-0030,bedroom,right,double_bed,pendant_lamp,not_satisfied,satisfied,images/EG02-BED-0030.svg,Place a black and white pendant lamp with a metal frame to the left of a double bed.
EG02-DIN-0002,diningroom,behind,dining_table,dining_chair,satisfied,uncertain,images/EG02-DIN-0002.svg,"Set up a black dining chair with a black frame in front of a dining table. Additionally, put a black dining table with a black top to the close right of a dining chair."
EG02-DIN-0006,diningroom,below,dining_table,pendant_lamp,satisfied,not_satisfied,images/EG02-DIN-0006.svg,Position a black pendant lamp with glass shades above a black dining table with a black top.
EG02-DIN-0007,diningroom,below,dining_table,pendant_lamp,satisfied,not_satisfied,images/EG02-DIN-0007.svg,"Place a dining chair closely in front of a dining table. Finnally, put a dining table below a pendant lamp."
EG02-DIN-0008,diningroom,close to,dining_table,dining_chair,not_satisfied,satisfied,images/EG02-DIN-0008.svg,"Place a dining chair closely in front of a dining table. Finnally, put a dining table below a pendant lamp."
EG02-DIN-0021,diningroom,left,armchair,multi_seat_sofa,not_satisfied,uncertain,images/EG02-DIN-0021.svg,"Add a black multi-seat sofa with a cover behind a black wooden armchair. Additionally, set up an armchair left of a black multi-seat sofa with a cover."
EG02-LIV-0001,livingroom,above,pendant_lamp,dining_table,satisfied,not_satisfied,images/EG02-LIV-0001.svg,Put a black pendant lamp with hanging balls above a dark brown oval dining table with a pedestal base. Position a black pendant lamp with hanging balls right of a blue bookshelf with wine bottles and a bottle of wine.
EG02-LIV-0002,livingroom,above,pendant_lamp,dining_table,not_judgable,not_satisfied,images/EG02-LIV-0002.svg,Install a pendant lamp above a dining table.
EG02-LIV-0004,livingroom,behind,loveseat_sofa,corner_side_table,satisfied,not_satisfied,images/EG02-LIV-0004.svg,Place a gray loveseat sofa with pillows behind a corner side table with a square top and a hole in the middle.
EG02-LIV-0007,livingroom,behind,dining_table,dining_chair,not_satisfied,uncertain,images/EG02-LIV-0007.svg,"Arrange a black dining chair in front of a dining table. Then, place a dining table closely in front of a blue multi-seat sofa with pillows."
EG02-LIV-0008,livingroom,below,dining_table,pendant_lamp,not_judgable,not_satisfied,images/EG02-LIV-0008.svg,"Arrange a black dining table with four legs to the left of a dining chair. Finnally, install a black pendant lamp with a shade above a dining table."
EG02-LIV-0009,livingroom,below,coffee_table,pendant_lamp,not_judgable,satisfied,images/EG02-LIV-0009.svg,Set up a black pendant lamp with black balls above a black coffee table with two shelves.
EG02-LIV-0015,livingroom,in front of,loveseat_sofa,corner_side_table,satisfied,not_satisfied,images/EG02-LIV-0015.svg,Put a black dining table with a black top in front of a lounge chair. And position a corner side table behind a black loveseat sofa.
EG02-LIV-0017,livingroom,in front of,pendant_lamp,coffee_table,not_satisfied,not_judgable,images/EG02-LIV-0017.svg,Arrange a coffee table with headphones and a book behind a pendant lamp with a network of dots.
EG02-LIV-0018,livingroom,in front of,loveseat_sofa,pendant_lamp,satisfied,not_satisfied,images/EG02-LIV-0018.svg,Set up a loveseat sofa with pillows in front of a pendant lamp. And add a square coffee table with drawers behind a loveseat sofa.
EG02-LIV-0019,livingroom,in front of,dining_table,console_table,satisfied,uncertain,images/EG02-LIV-0019.svg,"Position a black console table with glass top and two doors behind a black and brown dining table with black legs. Next, arrange a dining chair closely behind a black and brown dining table with black legs."
EG02-LIV-0020,livingroom,left,loveseat_sofa,pendant_lamp,satisfied,not_satisfied,images/EG02-LIV-0020.svg,"Position a black flower pendant lamp to the right of a brown loveseat sofa with a wooden frame. Finnally, set up a tv stand right of a lounge armchair."
EG02-LIV-0024,livingroom,right,tv_stand,armchair,satisfied,uncertain,images/EG02-LIV-0024.svg,"Position a black flower pendant lamp to the right of a brown loveseat sofa with a wooden frame. Finnally, set up a tv stand right of a lounge armchair."
EG02-LIV-0026,livingroom,right,pendant_lamp,bookshelf,not_satisfied,satisfied,images/EG02-LIV-0026.svg,Put a black pendant lamp with hanging balls above a dark brown oval dining table with a pedestal base. Position a black pendant lamp with hanging balls right of a blue bookshelf with wine bottles and a bottle of wine.
EG02-LIV-0028,livingroom,right,dining_table,console_table,satisfied,uncertain,images/EG02-LIV-0028.svg,"Add a black and white tufted stool with silver studs to the right of a dining table. Next, add a dining table to the right of a blue and white console table with blue top."
EG02-LIV-0029,livingroom,right,dining_table,chinese_chair,satisfied,uncertain,images/EG02-LIV-0029.svg,"Put a black leather dining chair in front of a loveseat sofa. Finnally, position a black circular dining table right of a classic chinese chair with a cushion."
