room,scene_index,scene_uid,evaluation_uid,target_relation_count,floor_mesh_gate_available,floor_repair_accepted,random_accepted,random_available,cwgcp_accepted,cwgcp_runtime_seconds,cwgcp_unresolved_relations,cwgcp_selected_source,baseline_mesh_collision_pairs,floor_prior_mesh_collision_pairs,cwgcp_mesh_collision_pairs,baseline_satisfied,baseline_total,baseline_accuracy,baseline_obb_collision_pairs,baseline_obb_overlap_area,baseline_total_movement,baseline_max_movement,baseline_edited_objects,floor_prior_satisfied,floor_prior_total,floor_prior_accuracy,floor_prior_obb_collision_pairs,floor_prior_obb_overlap_area,floor_prior_total_movement,floor_prior_max_movement,floor_prior_edited_objects,random_satisfied,random_total,random_accuracy,random_obb_collision_pairs,random_obb_overlap_area,random_total_movement,random_max_movement,random_edited_objects,cwgcp_satisfied,cwgcp_total,cwgcp_accuracy,cwgcp_obb_collision_pairs,cwgcp_obb_overlap_area,cwgcp_total_movement,cwgcp_max_movement,cwgcp_edited_objects,generic_satisfied,generic_total,generic_accuracy,generic_obb_collision_pairs,generic_obb_overlap_area,generic_total_movement,generic_max_movement,generic_edited_objects
bedroom,0,015ed8e0-35dc-41ab-9a9e-b3dbba4ec64a_MasterBedroom-33296,bedroom_sgdiffusion_vq_objfeat_epoch_01999_relation_aware_parsed_floor_prior_max1.8_mesh_p2_close0.75_far1.6_eval_cfg1.0_1.0.json::015ed8e0-35dc-41ab-9a9e-b3dbba4ec64a_MasterBedroom-33296,1,True,True,False,True,False,0.000833400001283735,0,baseline_rollback,2.0,2.0,2.0,1,1,1.0,2,0.23524150008398348,0.0,0.0,0,1,1,1.0,2,0.23524150008398348,0.0,0.0,0,1,1,1.0,2,0.23524150008398348,0.0,0.0,0,1,1,1.0,2,0.23524150008398348,0.0,0.0,0,1,1,1.0,2,0.23524150008398348,0.0,0.0,0
bedroom,1,04684207-3d45-4d33-bd9d-0f66c9a45402_MasterBedroom-9404,bedroom_sgdiffusion_vq_objfeat_epoch_01999_relation_aware_parsed_floor_prior_max1.8_mesh_p2_close0.75_far1.6_eval_cfg1.0_1.0.json::04684207-3d45-4d33-bd9d-0f66c9a45402_MasterBedroom-9404,2,True,False,False,True,False,0.0012452000009943731,0,baseline_rollback,5.0,5.0,5.0,2,2,1.0,8,2.86623150853078,0.0,0.0,0,2,2,1.0,8,2.86623150853078,0.0,0.0,0,2,2,1.0,8,2.86623150853078,0.0,0.0,0,2,2,1.0,8,2.86623150853078,0.0,0.0,0,2,2,1.0,8,2.86623150853078,0.0,0.0,0
bedroom,2,04f7a09d-08be-4e6f-965d-b655e0f654fe_SecondBedroom-30034,bedroom_sgdiffusion_vq_objfeat_epoch_01999_relation_aware_parsed_floor_prior_max1.8_mesh_p2_close0.75_far1.6_eval_cfg1.0_1.0.json::04f7a09d-08be-4e6f-965d-b655e0f654fe_SecondBedroom-30034,1,True,True,False,True,False,0.0007177000006777234,0,baseline_rollback,1.0,1.0,1.0,1,1,1.0,2,1.2545028337163955,0.0,0.0,0,1,1,1.0,2,1.2545028337163955,0.0,0.0,0,1,1,1.0,2,1.2545028337163955,0.0,0.0,0,1,1,1.0,2,1.2545028337163955,0.0,0.0,0,1,1,1.0,2,1.2545028337163955,0.0,0.0,0
bedroom,3,0b4abd30-b157-4ecf-a077-989285598cf2_SecondBedroom-6482,bedroom_sgdiffusion_vq_objfeat_epoch_01999_relation_aware_parsed_floor_prior_max1.8_mesh_p2_close0.75_far1.6_eval_cfg1.0_1.0.json::0b4abd30-b157-4ecf-a077-989285598cf2_SecondBedroom-6482,1,True,True,False,True,False,0.0009357000017189421,0,baseline_rollback,1.0,1.0,1.0,1,1,1.0,2,0.32543788728043743,0.0,0.0,0,1,1,1.0,2,0.32543788728043743,0.0,0.0,0,1,1,1.0,2,0.32543788728043743,0.0,0.0,0,1,1,1.0,2,0.32543788728043743,0.0,0.0,0,1,1,1.0,2,0.32543788728043743,0.0,0.0,0
bedroom,4,0bb3d53a-d91c-4f86-afb3-0fbf0e35d1d5_SecondBedroom-11167,bedroom_sgdiffusion_vq_objfeat_epoch_01999_relation_aware_parsed_floor_prior_max1.8_mesh_p2_close0.75_far1.6_eval_cfg1.0_1.0.json::0bb3d53a-d91c-4f86-afb3-0fbf0e35d1d5_SecondBedroom-11167,1,True,True,False,True,False,0.0008467000006930903,0,baseline_rollback,0.0,0.0,0.0,0,1,0.0,1,0.050192564197896125,0.0,0.0,0,0,1,0.0,1,0.050192564197896125,0.0,0.0,0,0,1,0.0,1,0.050192564197896125,0.0,0.0,0,0,1,0.0,1,0.050192564197896125,0.0,0.0,0,0,1,0.0,1,0.050192564197896125,0.0,0.0,0
bedroom,5,0d7be408-9e3d-4f68-8422-5aa2069ccdb2_MasterBedroom-27127,bedroom_sgdiffusion_vq_objfeat_epoch_01999_relation_aware_parsed_floor_prior_max1.8_mesh_p2_close0.75_far1.6_eval_cfg1.0_1.0.json::0d7be408-9e3d-4f68-8422-5aa2069ccdb2_MasterBedroom-27127,2,True,True,False,True,False,0.0005927000020164996,0,baseline_rollback,1.0,1.0,1.0,2,2,1.0,2,0.2704980151920667,0.0,0.0,0,2,2,1.0,2,0.2704980151920667,0.0,0.0,0,2,2,1.0,2,0.2704980151920667,0.0,0.0,0,2,2,1.0,2,0.2704980151920667,0.0,0.0,0,2,2,1.0,2,0.2704980151920667,0.0,0.0,0
bedroom,6,0f401f03-d3c7-413b-b9ff-bfb6fdbb416d_MasterBedroom-75552,bedroom_sgdiffusion_vq_objfeat_epoch_01999_relation_aware_parsed_floor_prior_max1.8_mesh_p2_close0.75_far1.6_eval_cfg1.0_1.0.json::0f401f03-d3c7-413b-b9ff-bfb6fdbb416d_MasterBedroom-75552,1,True,True,False,True,False,0.0004911999931209721,0,baseline_rollback,0.0,0.0,0.0,1,1,1.0,1,0.3603216718239999,0.0,0.0,0,1,1,1.0,1,0.3603216718239999,0.0,0.0,0,1,1,1.0,1,0.3603216718239999,0.0,0.0,0,1,1,1.0,1,0.3603216718239999,0.0,0.0,0,1,1,1.0,1,0.3603216718239999,0.0,0.0,0
bedroom,7,0f7d04b8-9de9-4e07-9a44-0cdb8b2703f4_SecondBedroom-19119,bedroom_sgdiffusion_vq_objfeat_epoch_01999_relation_aware_parsed_floor_prior_max1.8_mesh_p2_close0.75_far1.6_eval_cfg1.0_1.0.json::0f7d04b8-9de9-4e07-9a44-0cdb8b2703f4_SecondBedroom-19119,2,True,True,False,True,False,0.0008655999990878627,0,baseline_rollback,3.0,3.0,3.0,2,2,1.0,4,0.971942612863218,0.0,0.0,0,2,2,1.0,4,0.971942612863218,0.0,0.0,0,2,2,1.0,4,0.971942612863218,0.0,0.0,0,2,2,1.0,4,0.971942612863218,0.0,0.0,0,2,2,1.0,4,0.971942612863218,0.0,0.0,0
bedroom,8,0fc4d063-6145-456f-8fe1-1180d3eeeb3f_Bedroom-2719,bedroom_sgdiffusion_vq_objfeat_epoch_01999_relation_aware_parsed_floor_prior_max1.8_mesh_p2_close0.75_far1.6_eval_cfg1.0_1.0.json::0fc4d063-6145-456f-8fe1-1180d3eeeb3f_Bedroom-2719,2,True,True,False,True,False,0.0010690999988582917,0,baseline_rollback,0.0,0.0,0.0,1,2,0.5,2,0.2146555673038317,0.0,0.0,0,1,2,0.5,2,0.2146555673038317,0.0,0.0,0,1,2,0.5,2,0.2146555673038317,0.0,0.0,0,1,2,0.5,2,0.2146555673038317,0.0,0.0,0,1,2,0.5,2,0.2146555673038317,0.0,0.0,0
bedroom,9,10a1f583-7755-4afd-98b2-3f7df16bc930_Bedroom-430,bedroom_sgdiffusion_vq_objfeat_epoch_01999_relation_aware_parsed_floor_prior_max1.8_mesh_p2_close0.75_far1.6_eval_cfg1.0_1.0.json::10a1f583-7755-4afd-98b2-3f7df16bc930_Bedroom-430,1,True,True,False,True,False,0.0005340999996406026,0,baseline_rollback,0.0,0.0,0.0,1,1,1.0,1,1.7910195391684391,0.0,0.0,0,1,1,1.0,1,1.7910195391684391,0.0,0.0,0,1,1,1.0,1,1.7910195391684391,0.0,0.0,0,1,1,1.0,1,1.7910195391684391,0.0,0.0,0,1,1,1.0,1,1.7910195391684391,0.0,0.0,0
