annotation_id,room_type,predicate,subject_class,object_class,final_label,auto_repair_label,coord_rule_label,pair_alignment_status,image_or_view_path,source_text
EG02-BED-0013,bedroom,close to,desk,chair,satisfied,satisfied,not_satisfied,ok,images/EG02-BED-0013.jpg,Add a desk to the right of a green and gray single bed. Arrange a black and silver computer desk to the near left of a grey dining chair with black legs.
EG02-BED-0018,bedroom,in front of,nightstand,double_bed,not_satisfied,satisfied,satisfied,ok,images/EG02-BED-0018.jpg,"Arrange a black double bed with white sheets and pillows behind a nightstand. Next, place a black double bed with white sheets and pillows in front of a wardrobe."
EG02-BED-0019,bedroom,in front of,double_bed,nightstand,satisfied,satisfied,not_satisfied,ok,images/EG02-BED-0019.jpg,Put a black and white nightstand with a silver handle behind a double bed.
EG02-BED-0020,bedroom,in front of,wardrobe,dressing_table,not_satisfied,not_satisfied,satisfied,ok,images/EG02-BED-0020.jpg,"Put a blue and white double bed with pillows below a black pendant lamp with a led light and a frame. Additionally, position a cabinet with shelves and a plant in front of a gray dressing table with a mirror and shoes."
EG02-BED-0022,bedroom,left,bookshelf,double_bed,not_satisfied,not_satisfied,satisfied,ok,images/EG02-BED-0022.jpg,"Add a grey stool with black legs behind a wooden bookshelf with shelves. Then, set up a bookshelf left of a black and white double bed."
EG02-BED-0023,bedroom,left,table,pendant_lamp,satisfied,satisfied,not_satisfied,ok,images/EG02-BED-0023.jpg,Add a corner side table with a round top to the left of a black and silver pendant lamp with lights.
EG02-BED-0030,bedroom,right,double_bed,pendant_lamp,not_satisfied,satisfied,satisfied,ok,images/EG02-BED-0030.jpg,Place a black and white pendant lamp with a metal frame to the left of a double bed.
EG02-DIN-0002,diningroom,behind,dining_table,dining_chair,satisfied,not_satisfied,not_satisfied,ok,images/EG02-DIN-0002.jpg,"Set up a black dining chair with a black frame in front of a dining table. Additionally, put a black dining table with a black top to the close right of a dining chair."
EG02-DIN-0005,diningroom,behind,loveseat_sofa,console_table,not_satisfied,satisfied,satisfied,ok,images/EG02-DIN-0005.jpg,"Put a gray loveseat sofa behind a gray loveseat sofa. Next, arrange a gray loveseat sofa behind a grey console table with metal legs."
EG02-DIN-0008,diningroom,close to,dining_table,dining_chair,satisfied,satisfied,not_satisfied,ok,images/EG02-DIN-0008.jpg,"Place a dining chair closely in front of a dining table. Finnally, put a dining table below a pendant lamp."
EG02-DIN-0011,diningroom,close to,pendant_lamp,lounge_chair,satisfied,satisfied,not_satisfied,ok,images/EG02-DIN-0011.jpg,Add a gray lounge chair with a wooden frame in front of a wooden console table with doors. Place a hanging pendant lamp with pots closely in front of a lounge chair.
EG02-DIN-0017,diningroom,in front of,coffee_table,armchair,satisfied,not_satisfied,not_satisfied,ok,images/EG02-DIN-0017.jpg,"Position a round end table to the right of a dining table. Then, place a gray striped armchair behind a brown coffee table."
EG02-LIV-0007,livingroom,behind,dining_table,dining_chair,not_satisfied,satisfied,satisfied,ok,images/EG02-LIV-0007.jpg,"Arrange a black dining chair in front of a dining table. Then, place a dining table closely in front of a blue multi-seat sofa with pillows."
EG02-LIV-0030,livingroom,right,dining_table,dining_chair,satisfied,satisfied,not_satisfied,ok,images/EG02-LIV-0030.jpg,"Add a black and brown dining table with black legs right of a dining chair. Finnally, arrange a pendant lamp above a black and brown dining table with black legs."
