room,scene_uid,target_total,horizontal_total,before_all_acc_simple,after_all_acc_simple,before_horizontal_acc_simple,after_horizontal_acc_simple,edits,final_movement,score_before,score_after,overlap_area_before,overlap_area_after,oob_before,oob_after,text
bedroom,015ed8e0-35dc-41ab-9a9e-b3dbba4ec64a_MasterBedroom-33296,1,1,1.0,1.0,1.0,1.0,0,0.0,0.5940916447170085,0.5940916447170085,0.0,0.0,0.0,0.0,Put a grey double bed with headboard and pillows to the left of a nightstand.
bedroom,04684207-3d45-4d33-bd9d-0f66c9a45402_MasterBedroom-9404,2,2,0.5,1.0,0.5,1.0,1,1.9127659251512057,2.3714282573302303,0.6786308818753098,0.041353916976542476,0.03480642142213228,0.0,0.0,Add a double bed left of a gray nightstand with drawers. Place a gray nightstand with drawers to the right of a gray wardrobe with shelves and drawers.
bedroom,04f7a09d-08be-4e6f-965d-b655e0f654fe_SecondBedroom-30034,1,1,0.0,1.0,0.0,1.0,1,3.0856933475483026,3.0919116353243714,0.3914538264557965,0.30677640787599997,0.046201784999999954,0.0,0.0,Position a black and white circular pendant lamp behind a black and silver nightstand with a drawer.
bedroom,0b4abd30-b157-4ecf-a077-989285598cf2_SecondBedroom-6482,1,1,1.0,1.0,1.0,1.0,0,0.0,0.18797410343973797,0.18797410343973797,0.03235887468359516,0.03235887468359516,0.0,0.0,Place a wooden wardrobe with doors to the right of a black and white nightstand with a drawer.
bedroom,0bb3d53a-d91c-4f86-afb3-0fbf0e35d1d5_SecondBedroom-11167,1,1,0.0,1.0,0.0,1.0,1,3.0138166657180965,3.0054616377329415,0.3666579998861718,0.0,0.0,0.0,0.0,Add a pendant lamp behind a dressing table with mirror.
bedroom,0d7be408-9e3d-4f68-8422-5aa2069ccdb2_MasterBedroom-27127,2,2,1.0,1.0,1.0,1.0,0,0.0,0.6505138737391739,0.6505138737391739,0.06202067209800004,0.06202067209800004,0.0,0.0,Put a gray wardrobe with doors and a drawer to the left of a grey double bed with pillows. Add a gray wardrobe with doors and a drawer to the left of a grey double bed with pillows.
bedroom,0f401f03-d3c7-413b-b9ff-bfb6fdbb416d_MasterBedroom-75552,1,1,1.0,1.0,1.0,1.0,0,0.0,0.636590868701795,0.636590868701795,0.09008041795599997,0.09008041795599997,0.0,0.0,Put a wardrobe with doors and drawers in front of a black octagonal tray ceiling lamp with a lid.
bedroom,0f7d04b8-9de9-4e07-9a44-0cdb8b2703f4_SecondBedroom-19119,2,2,1.0,1.0,1.0,1.0,0,0.0,0.35610101365850905,0.35610101365850905,0.18120133207025005,0.18120133207025005,0.0,0.0,"Add a wooden wardrobe with drawers behind a brown and black double bed. Additionally, install a pendant lamp in front of a wooden wardrobe with drawers."
bedroom,0fc4d063-6145-456f-8fe1-1180d3eeeb3f_Bedroom-2719,2,2,0.5,1.0,0.5,1.0,1,2.975103290503583,1.4358806094358454,0.6071019394238796,0.0,0.0,0.0,0.0,"Add a grey stool with black legs behind a wooden bookshelf with shelves. Then, set up a bookshelf left of a black and white double bed."
bedroom,10a1f583-7755-4afd-98b2-3f7df16bc930_Bedroom-430,1,1,0.0,1.0,0.0,1.0,1,3.2370754537172295,3.1229423001856214,0.4247308237344175,0.27475103772815773,0.08937648368099999,0.0,0.0,Add a corner side table with a round top to the left of a black and silver pendant lamp with lights.
bedroom,12329142-9d6e-4957-8592-4d156a454bab_MasterBedroom-18415,2,2,0.5,1.0,0.5,1.0,1,1.8164606887895087,1.6187221969491175,0.7315601665852239,0.03367438403999997,0.04229982626014422,0.0,0.0,"Place a black and grey double bed in front of a wardrobe. Then, arrange a black and white square nightstand in front of a black wardrobe with hanging clothes."
bedroom,12f93edf-43d1-4009-9639-92b3b604b352_SecondBedroom-1145,2,2,0.5,1.0,0.5,1.0,1,4.033594249691657,4.813815016682752,1.2065528044896987,0.40522260355149964,0.40522260355149964,0.0,0.0,Add a nightstand with drawers left of a nightstand with drawers. And install a pendant lamp with metal rods in front of a nightstand with drawers.
bedroom,13626eb3-bcc1-455a-a889-78b6c92dfbb6_SecondBedroom-2787,2,2,0.5,0.5,0.5,0.5,0,0.0,5.595597646271281,5.595597646271281,0.03367438403999997,0.03367438403999997,0.0,0.0,Hang a ceiling lamp to the right of a nightstand. And arrange a black nightstand with a shelf left of a black and brown desk with a black handle.
bedroom,14125793-35c5-4ab8-be6e-3089eaa45bc1_Bedroom-87322,1,1,0.0,1.0,0.0,1.0,1,1.2916347009557536,1.9435683008231694,0.7992111065385276,0.0039213405998721265,0.0,0.0,0.0,Set up a blue pillow and black frame stool behind a ceiling lamp.
