annotation_id,scene_id,room_type,layout_variant,relation_id,subject_class,predicate,object_class,subject_index,object_index,image_or_view_path,human_label,missing_object,visibility_quality,annotator_id,notes,source_text,source_json,raw_predicate,baseline_satisfied,repair_satisfied,subject_center_xyz,object_center_xyz
EG02-BED-0001,12329142-9d6e-4957-8592-4d156a454bab_MasterBedroom-18415,bedroom,collision_gated_floor_prior,10:1:20-7-12,wardrobe,behind,nightstand,0,1,,,none,,,,"Place a black and grey double bed in front of a wardrobe. Then, arrange a black and white square nightstand in front of a black wardrobe with hanging clothes.",results/floor_prior_remote/bedroom_sgdiffusion_vq_objfeat_epoch_01999_relation_aware_parsed_floor_prior_max1.8_mesh_p2_close0.75_far1.6_eval_cfg1.0_1.0.json,behind,0,1,"[0.1885345836319483,1.2644600622122408,-1.8596721755238277]","[-0.5311765316780639,0.34811251277909966,-0.7417791609324871]"
EG02-BED-0002,12f93edf-43d1-4009-9639-92b3b604b352_SecondBedroom-1145,bedroom,collision_gated_floor_prior,11:1:12-7-13,nightstand,behind,pendant_lamp,1,0,,,none,,,,Add a nightstand with drawers left of a nightstand with drawers. And install a pendant lamp with metal rods in front of a nightstand with drawers.,results/floor_prior_remote/bedroom_sgdiffusion_vq_objfeat_epoch_01999_relation_aware_parsed_floor_prior_max1.8_mesh_p2_close0.75_far1.6_eval_cfg1.0_1.0.json,behind,0,1,"[0.8099869997677325,0.27723507644941336,-1.1019666873089762]","[0.8599870005127905,2.461284017003135,0.49803333653288173]"
EG02-BED-0003,29aa7167-1c46-4ce0-8c58-3cfb7a7d15af_SecondBedroom-69556,bedroom,collision_gated_floor_prior,34:1:8-7-18,double_bed,behind,table,3,1,,,none,,,,"Set up a wardrobe with a door and drawers in front of a gray double bed with sheets and pillows. Finnally, add a black corner side table with a round top in front of a gray double bed with sheets and pillows.",results/floor_prior_remote/bedroom_sgdiffusion_vq_objfeat_epoch_01999_relation_aware_parsed_floor_prior_max1.8_mesh_p2_close0.75_far1.6_eval_cfg1.0_1.0.json,behind,1,1,"[0.26929384223471864,0.4215058545308502,-0.20289773304528946]","[0.9687454848945616,0.2649045580429808,-1.4539055057873826]"
EG02-BED-0004,38e3cf4a-a67b-42d8-b467-2d1a3e5407a8_SecondBedroom-15551,bedroom,collision_gated_floor_prior,43:0:12-7-8,nightstand,behind,double_bed,1,2,,,none,,,,Position a double bed with pillows and a blanket in front of a black and grey nightstand cabinet.,results/floor_prior_remote/bedroom_sgdiffusion_vq_objfeat_epoch_01999_relation_aware_parsed_floor_prior_max1.8_mesh_p2_close0.75_far1.6_eval_cfg1.0_1.0.json,behind,1,1,"[2.3547442909260425,0.24881725150885992,-1.2361369123361543]","[1.4141021077819422,0.5918947010742545,0.20230274894137246]"
EG02-BED-0005,74eafabd-fe9b-4f87-81f4-5af7f0b566ff_Bedroom-26487,bedroom,collision_gated_floor_prior,84:0:8-7-18,double_bed,behind,table,1,2,,,none,,,,Put a black corner side table with a square top in front of a grey double bed with sheets and pillows.,results/floor_prior_remote/bedroom_sgdiffusion_vq_objfeat_epoch_01999_relation_aware_parsed_floor_prior_max1.8_mesh_p2_close0.75_far1.6_eval_cfg1.0_1.0.json,behind,1,1,"[0.4494297781681631,0.6310172330936671,-0.3602642218799277]","[1.6287280413236198,0.21643897193859457,0.8405673615340321]"
EG02-BED-0006,eb41d9bd-e372-479c-9dc9-ea9f738bf9c4_MasterBedroom-28978,bedroom,collision_gated_floor_prior,152:0:8-7-20,double_bed,behind,wardrobe,3,0,,,none,,,,Put a grey and black double bed with headboard behind a wooden wardrobe with a strip of wood.,results/floor_prior_remote/bedroom_sgdiffusion_vq_objfeat_epoch_01999_relation_aware_parsed_floor_prior_max1.8_mesh_p2_close0.75_far1.6_eval_cfg1.0_1.0.json,behind,1,1,"[-0.3154703265003347,0.8880660162168128,0.37969485018468596]","[-0.09269706361203145,1.1103891806510324,1.9273911471992307]"
EG02-BED-0007,ed41e047-ee12-4f00-8add-0ee6b95d1585_MasterBedroom-3712,bedroom,collision_gated_floor_prior,154:0:4-7-13,chair,behind,pendant_lamp,3,1,,,none,,,,"Place a black dining chair with a black frame behind a black pendant lamp with dots. Next, add a black pendant lamp with dots in front of an office desk with drawers.",results/floor_prior_remote/bedroom_sgdiffusion_vq_objfeat_epoch_01999_relation_aware_parsed_floor_prior_max1.8_mesh_p2_close0.75_far1.6_eval_cfg1.0_1.0.json,behind,0,1,"[0.5288659230839827,0.4456863706914815,-0.987209130755956]","[-0.18004248467904516,2.436665441828722,0.009575095514639642]"
EG02-BED-0008,15d07e45-2761-43ed-8dfc-f9d4ef58041d_Bedroom-68718,bedroom,collision_gated_floor_prior,14:1:8-5-13,double_bed,below,pendant_lamp,3,1,,,none,,,,Add a black wooden wardrobe with doors and shelves in front of a black and white nightstand with a silver handle. Set up a double bed with canopy and pillows below a black pendant lamp with crystals.,results/floor_prior_remote/bedroom_sgdiffusion_vq_objfeat_epoch_01999_relation_aware_parsed_floor_prior_max1.8_mesh_p2_close0.75_far1.6_eval_cfg1.0_1.0.json,below,1,1,"[-0.22171328849421856,1.1388278096606768,-0.013197606723994504]","[0.03176396892294475,1.813921558662182,-0.15084648264434142]"
EG02-BED-0009,56fedd11-b226-4c51-8d89-552caf24487b_SecondBedroom-19232,bedroom,collision_gated_floor_prior,64:0:8-5-13,double_bed,below,pendant_lamp,2,1,,,none,,,,Position a gray double bed with brown pillows below a wooden pendant lamp with a wooden shade.,results/floor_prior_remote/bedroom_sgdiffusion_vq_objfeat_epoch_01999_relation_aware_parsed_floor_prior_max1.8_mesh_p2_close0.75_far1.6_eval_cfg1.0_1.0.json,below,1,1,"[-0.26378932856170456,0.5499777024820268,0.3057799526565588]","[-0.1922443232771145,2.3707438548190987,-0.03625971226112501]"
EG02-BED-0010,9e9c7c48-a631-4ded-a271-7dd697faf0dc_MasterBedroom-1615,bedroom,collision_gated_floor_prior,105:0:8-5-13,double_bed,below,pendant_lamp,2,3,,,none,,,,Put a gray double bed with cover and pillows below a black metal pendant lamp with a hanging ball.,results/floor_prior_remote/bedroom_sgdiffusion_vq_objfeat_epoch_01999_relation_aware_parsed_floor_prior_max1.8_mesh_p2_close0.75_far1.6_eval_cfg1.0_1.0.json,below,1,1,"[-0.224708139623782,0.4423832179575094,0.9526532756453325]","[0.17107904032021182,3.053192855775822,0.7578478294031203]"
