annotation_id,room_type,predicate,subject_class,object_class,label_a,label_d,coord_rule_label,pair_alignment_status,final_label,adjudicator_id,adjudication_notes,image_or_view_path,source_text
EG02-BED-0003,bedroom,behind,double_bed,table,satisfied,not_satisfied,satisfied,ok,,,,images/EG02-BED-0003.jpg,"Set up a wardrobe with a door and drawers in front of a gray double bed with sheets and pillows. Finnally, add a black corner side table with a round top in front of a gray double bed with sheets and pillows."
EG02-BED-0005,bedroom,behind,double_bed,table,not_satisfied,satisfied,not_satisfied,ok,,,,images/EG02-BED-0005.jpg,Put a black corner side table with a square top in front of a grey double bed with sheets and pillows.
EG02-BED-0013,bedroom,close to,desk,chair,satisfied,not_satisfied,not_satisfied,ok,,,,images/EG02-BED-0013.jpg,Add a desk to the right of a green and gray single bed. Arrange a black and silver computer desk to the near left of a grey dining chair with black legs.
EG02-BED-0017,bedroom,in front of,wardrobe,cabinet,not_satisfied,satisfied,not_satisfied,ok,,,,images/EG02-BED-0017.jpg,"Place a cabinet behind a black wardrobe with a wooden door. Then, set up a cabinet left of a cabinet."
EG02-BED-0018,bedroom,in front of,nightstand,double_bed,satisfied,not_satisfied,satisfied,ok,,,,images/EG02-BED-0018.jpg,"Arrange a black double bed with white sheets and pillows behind a nightstand. Next, place a black double bed with white sheets and pillows in front of a wardrobe."
EG02-BED-0019,bedroom,in front of,double_bed,nightstand,not_judgable,not_satisfied,not_satisfied,ok,,,,images/EG02-BED-0019.jpg,Put a black and white nightstand with a silver handle behind a double bed.
EG02-BED-0020,bedroom,in front of,wardrobe,dressing_table,satisfied,not_satisfied,satisfied,ok,,,,images/EG02-BED-0020.jpg,"Put a blue and white double bed with pillows below a black pendant lamp with a led light and a frame. Additionally, position a cabinet with shelves and a plant in front of a gray dressing table with a mirror and shoes."
EG02-BED-0030,bedroom,right,double_bed,pendant_lamp,satisfied,not_satisfied,satisfied,ok,,,,images/EG02-BED-0030.jpg,Place a black and white pendant lamp with a metal frame to the left of a double bed.
EG02-DIN-0002,diningroom,behind,dining_table,dining_chair,satisfied,not_satisfied,not_satisfied,ok,,,,images/EG02-DIN-0002.jpg,"Set up a black dining chair with a black frame in front of a dining table. Additionally, put a black dining table with a black top to the close right of a dining chair."
EG02-DIN-0005,diningroom,behind,loveseat_sofa,console_table,satisfied,not_satisfied,satisfied,ok,,,,images/EG02-DIN-0005.jpg,"Put a gray loveseat sofa behind a gray loveseat sofa. Next, arrange a gray loveseat sofa behind a grey console table with metal legs."
EG02-DIN-0008,diningroom,close to,dining_table,dining_chair,satisfied,not_satisfied,not_satisfied,ok,,,,images/EG02-DIN-0008.jpg,"Place a dining chair closely in front of a dining table. Finnally, put a dining table below a pendant lamp."
EG02-DIN-0009,diningroom,close to,dining_chair,dining_table,satisfied,not_satisfied,satisfied,ok,,,,images/EG02-DIN-0009.jpg,"Place a gray dining table with wooden legs closely in front of a gray dining chair with a black seat. Then, arrange a gray dining chair with a black seat closely in front of a gray dining table with wooden legs."
EG02-DIN-0011,diningroom,close to,pendant_lamp,lounge_chair,satisfied,not_satisfied,not_satisfied,ok,,,,images/EG02-DIN-0011.jpg,Add a gray lounge chair with a wooden frame in front of a wooden console table with doors. Place a hanging pendant lamp with pots closely in front of a lounge chair.
EG02-DIN-0013,diningroom,close to,dining_chair,dining_table,satisfied,not_satisfied,satisfied,ok,,,,images/EG02-DIN-0013.jpg,Position a brown dining chair with an upholstered seat closely in front of a flower dining table.
EG02-DIN-0014,diningroom,close to,pendant_lamp,dining_chair,not_satisfied,satisfied,satisfied,ok,,,,images/EG02-DIN-0014.jpg,"Position a dining chair closely in front of a black pendant lamp with five lights. Then, place a pendant lamp above a black oval dining table with black legs."
EG02-DIN-0017,diningroom,in front of,coffee_table,armchair,satisfied,not_satisfied,not_satisfied,ok,,,,images/EG02-DIN-0017.jpg,"Position a round end table to the right of a dining table. Then, place a gray striped armchair behind a brown coffee table."
EG02-DIN-0026,diningroom,right,multi_seat_sofa,coffee_table,satisfied,not_satisfied,not_satisfied,ok,,,,images/EG02-DIN-0026.jpg,"Position a brown dining table with metal legs closely behind a grey fabric dining chair. Additionally, arrange a black triangle coffee table with two legs to the left of a black multi-seat sofa with pillows."
EG02-DIN-0027,diningroom,right,multi_seat_sofa,lounge_chair,satisfied,not_satisfied,satisfied,ok,,,,images/EG02-DIN-0027.jpg,"Set up a black marble dining table with two legs to the left of a black storage stool with a lid. Then, add a white multi-seat sofa with pillows right of a lounge chair."
EG02-DIN-0029,diningroom,right,dining_table,dining_chair,satisfied,not_satisfied,satisfied,ok,,,,images/EG02-DIN-0029.jpg,Arrange a black metal dining chair to the left of a black plastic bookshelf with a strip. Position a black marble dining table with a black base right of a black metal dining chair.
EG02-LIV-0004,livingroom,behind,loveseat_sofa,corner_side_table,satisfied,not_satisfied,satisfied,ok,,,,images/EG02-LIV-0004.jpg,Place a gray loveseat sofa with pillows behind a corner side table with a square top and a hole in the middle.
EG02-LIV-0007,livingroom,behind,dining_table,dining_chair,satisfied,not_satisfied,satisfied,ok,,,,images/EG02-LIV-0007.jpg,"Arrange a black dining chair in front of a dining table. Then, place a dining table closely in front of a blue multi-seat sofa with pillows."
EG02-LIV-0010,livingroom,close to,dining_table,dining_chair,satisfied,not_satisfied,satisfied,ok,,,,images/EG02-LIV-0010.jpg,Place a dining chair to the close right of a dining table. And add a dining table behind a grey dining chair with wooden legs.
EG02-LIV-0012,livingroom,close to,dining_table,dining_chair,satisfied,not_satisfied,satisfied,ok,,,,images/EG02-LIV-0012.jpg,"Position a black marble dining table with two legs closely behind a dining chair. Next, add a black marble dining table with two legs closely in front of a tufted dining chair."
EG02-LIV-0020,livingroom,left,loveseat_sofa,pendant_lamp,satisfied,not_satisfied,satisfied,ok,,,,images/EG02-LIV-0020.jpg,"Position a black flower pendant lamp to the right of a brown loveseat sofa with a wooden frame. Finnally, set up a tv stand right of a lounge armchair."
EG02-LIV-0029,livingroom,right,dining_table,chinese_chair,satisfied,not_satisfied,satisfied,ok,,,,images/EG02-LIV-0029.jpg,"Put a black leather dining chair in front of a loveseat sofa. Finnally, position a black circular dining table right of a classic chinese chair with a cushion."
