annotation_id,room_type,predicate,subject_class,object_class,final_label,auto_repair_label,coord_rule_label,pair_alignment_status,image_or_view_path,source_text
EG02-BED-0005,bedroom,behind,double_bed,table,not_satisfied,satisfied,not_satisfied,ok,images/EG02-BED-0005.jpg,Put a black corner side table with a square top in front of a grey double bed with sheets and pillows.
EG02-BED-0012,bedroom,close to,ceiling_lamp,chair,not_satisfied,satisfied,not_satisfied,ok,images/EG02-BED-0012.jpg,Put a gray dining chair closely behind a black ceiling lamp with a lid.
EG02-BED-0017,bedroom,in front of,wardrobe,cabinet,not_satisfied,satisfied,not_satisfied,ok,images/EG02-BED-0017.jpg,"Place a cabinet behind a black wardrobe with a wooden door. Then, set up a cabinet left of a cabinet."
EG02-BED-0018,bedroom,in front of,nightstand,double_bed,not_satisfied,satisfied,satisfied,ok,images/EG02-BED-0018.jpg,"Arrange a black double bed with white sheets and pillows behind a nightstand. Next, place a black double bed with white sheets and pillows in front of a wardrobe."
EG02-BED-0025,bedroom,left,double_bed,nightstand,not_satisfied,satisfied,not_satisfied,ok,images/EG02-BED-0025.jpg,Place a black and white nightstand with two drawers right of a grey and brown double bed.
EG02-BED-0030,bedroom,right,double_bed,pendant_lamp,not_satisfied,satisfied,satisfied,ok,images/EG02-BED-0030.jpg,Place a black and white pendant lamp with a metal frame to the left of a double bed.
EG02-DIN-0002,diningroom,behind,dining_table,dining_chair,satisfied,not_satisfied,not_satisfied,ok,images/EG02-DIN-0002.jpg,"Set up a black dining chair with a black frame in front of a dining table. Additionally, put a black dining table with a black top to the close right of a dining chair."
EG02-DIN-0005,diningroom,behind,loveseat_sofa,console_table,not_satisfied,satisfied,satisfied,ok,images/EG02-DIN-0005.jpg,"Put a gray loveseat sofa behind a gray loveseat sofa. Next, arrange a gray loveseat sofa behind a grey console table with metal legs."
EG02-DIN-0017,diningroom,in front of,coffee_table,armchair,satisfied,not_satisfied,not_satisfied,ok,images/EG02-DIN-0017.jpg,"Position a round end table to the right of a dining table. Then, place a gray striped armchair behind a brown coffee table."
EG02-LIV-0002,livingroom,above,pendant_lamp,dining_table,satisfied,not_satisfied,satisfied,ok,images/EG02-LIV-0002.jpg,Install a pendant lamp above a dining table.
EG02-LIV-0007,livingroom,behind,dining_table,dining_chair,not_satisfied,satisfied,satisfied,ok,images/EG02-LIV-0007.jpg,"Arrange a black dining chair in front of a dining table. Then, place a dining table closely in front of a blue multi-seat sofa with pillows."
EG02-LIV-0017,livingroom,in front of,pendant_lamp,coffee_table,not_satisfied,satisfied,not_satisfied,ok,images/EG02-LIV-0017.jpg,Arrange a coffee table with headphones and a book behind a pendant lamp with a network of dots.
